,Vibrations,Snoring
1601,59,Yes
1602,64,Yes
1603,71,Yes
1604,72,Yes
1605,67,Yes
1606,64,Yes
1607,62,Yes
1608,67,Yes
1609,65,Yes
1610,59,Yes
1611,54,Yes
1612,62,Yes
1613,65,Yes
1614,62,Yes
1615,57,Yes
1616,54,Yes
1617,63,Yes
1618,64,Yes
1619,60,Yes
1620,53,Yes
1621,47,Yes
1622,52,Yes
1623,50,Yes
1624,45,Yes
1625,36,Yes
1626,32,Yes
1627,38,Yes
1628,38,Yes
1629,35,Yes
1630,30,Yes
1631,28,Yes
1632,35,Yes
1633,36,Yes
1634,33,Yes
1635,27,Yes
1636,37,Yes
1637,43,Yes
1638,44,Yes
1639,42,Yes
1640,42,Yes
1641,54,Yes
1642,59,Yes
1643,59,Yes
1644,55,Yes
1645,59,Yes
1646,67,Yes
1647,68,Yes
1648,62,Yes
1649,56,Yes
1650,62,Yes
1651,63,Yes
1652,59,Yes
1653,50,Yes
1654,45,Yes
1655,50,Yes
1656,49,Yes
